fea0,fea1,fea2,fea3,fea4,fea5,fea6,fea7,fea8,fea9,fea10,fea11,fea12,fea13,fea14,fea15,fea16,fea17,fea18,WTSPR,WLSPR,ALSPR/ATSPR,TSPR-FMHW,LSPR-FMHW
1,1.2,50,12,27,10,110,50,1.82,10,0.364,350,5,120,27,0.4,0.58,400,0,514,729,2.39944241,51.70041,135.09599
1,1.2,50,12,27,10,110,50,1.82,10,0.364,350,10,120,27,0.4,0.58,400,0,516,758,2.48626981,92.06881,163.97969
1,1.2,50,12,27,10,110,50,1.82,10,0.364,50,2,120,27,0.4,0.58,400,0,526,739,1.168564995,54.62043,299.22128
1,1,50,12,27,10,110,50,1.82,10,0.364,100,2,120,27,0.4,0.58,400,0,516,718,1.924513323,52.16568,140.55265
1,1.2,50,12,27,10,110,50,1.82,10,0.364,100,2,120,27,0.4,0.58,400,0,517,726,1.797204812,52.67243,192.83276
1,1,50,12,27,10,110,50,1.82,10,0.364,200,2,120,27,0.4,0.58,400,0,517,722,1.989204712,53.18146,141.55328
1,1.2,50,12,27,10,110,50,1.82,10,0.364,200,2,120,27,0.4,0.58,400,0,515,781,2.55925429,54.50831,200.5406
1,1.2,50,12,27,10,110,50,1.82,10,0.364,300,2,120,27,0.4,0.58,400,0,514,716,1.989056441,49.0797,156.95805
1,1.2,50,12,27,10,110,50,1.82,10,0.364,400,2,120,27,0.4,0.58,400,0,512,882,3.581968923,48.63778,227.75955
1,1,50,12,27,10,110,50,1.82,10,0.364,500,2,120,27,0.4,0.58,400,0,515,709,1.898154728,50.32243,147.78498
1,1.2,50,12,27,10,110,50,1.82,10,0.364,500,2,120,27,0.4,0.58,400,0,514,819,2.969934406,95.18829,205.00892
1,1,50,12,27,0,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,512,843,3.305543385,55.95495,217.9384
1,1.2,50,12,27,0,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,514,833,2.931397068,86.10058,207.63371
1,1,50,12,27,5,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,515,731,2.094022527,51.5984,175.82833
1,1.2,50,12,27,5,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,511,872,3.617975507,50.4343,231.05827
1,1,50,12,27,30,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,516,717,2.01258451,50.9833,144.48948
1,1.2,50,12,27,30,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,511,850,3.458156575,55.47064,222.0397
1,1,50,12,27,60,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,511,855,3.310043788,53.92574,220.66497
1,1.2,50,12,27,60,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,515,749,2.56225551,53.3576,139.16945
1,1,50,12,27,120,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,514,718,2.188273564,50.15443,138.94238
1,1.2,50,12,27,120,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,512,895,3.61758113,48.08143,227.1286
1,1,50,12,27,300,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,510,893,3.796956442,55.23251,233.14036
1,1.2,50,12,27,300,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,510,861,3.47993904,47.65307,217.43318
1,1,50,12,27,10,50,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,512,807,3.049727235,54.45616,198.51126
1,1.2,50,12,27,10,50,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,511,893,3.700771516,48.10907,237.37555
1,1,50,12,27,10,80,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,512,835,3.450651412,55.00223,187.48164
1,1.2,50,12,27,10,80,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,512,868,3.960073668,49.49761,177.24502
1,1,50,12,27,10,100,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,514,746,1.9732,50.87128,344.37076
1,1.2,50,12,27,10,100,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,511,846,2.995950892,53.63487,237.01715
1,1,50,12,27,10,120,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,510,817,2.724192442,50.11051,320.36507
1,1.2,50,12,27,10,120,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,510,882,3.213251344,50.98217,275.30391
1,1,50,12,27,10,200,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,510,832,2.428392919,50.42345,333.66291
1,1.2,50,12,27,10,200,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,519,896,3.221186515,48.46932,280.85882
1,1,50,12,27,10,300,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,512,806,2.048643668,49.0671,428.476
1,1.2,50,12,27,10,300,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,515,925,3.343244145,49.48555,287.41749
1,1,50,12,27,10,110,50,1.82,5,0.364,350,2,120,27,0.4,0.58,400,0,520,773,1.455056043,57.64137,329.87173
1,1.2,50,12,27,10,110,50,1.82,5,0.364,350,2,120,27,0.4,0.58,400,0,531,932,2.422459427,61.1253,251.60792
1,1,50,12,27,10,110,50,1.82,15,0.364,350,2,120,27,0.4,0.58,400,0,535,821,0.870894677,69.54922,137.55032
1,1.2,50,12,27,10,110,50,1.82,15,0.364,350,2,120,27,0.4,0.58,400,0,539,949,1.713285524,57.87365,281.12819
2,2,50,12,27,10,110,100,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,525,790,1.222913849,57.74607,123.24255
2,2.4,50,12,27,10,110,100,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,531,896,2.141406033,60.11752,232.00003
4,4,50,12,27,10,110,200,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,526,963,1.15963389,58.98914,410.30805
4,4.8,50,12,27,10,110,200,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,531,895,2.253014623,60.15978,232.24756
